ID,Side,Shape,Approx_dimensions_m,Adjacent_edges,Reference,Reuse,Required_before_model
COW-01-01,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-00-01.bottom"", ""bottom"": ""COW-02-01.top"", ""left"": ""COW-01-00.right"", ""right"": ""COW-01-02.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-01-02,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-00-02.bottom"", ""bottom"": ""COW-02-02.top"", ""left"": ""COW-01-01.right"", ""right"": ""COW-01-03.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-01-03,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-00-03.bottom"", ""bottom"": ""COW-02-03.top"", ""left"": ""COW-01-02.right"", ""right"": ""COW-01-04.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-01-04,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-00-04.bottom"", ""bottom"": ""COW-02-04.top"", ""left"": ""COW-01-03.right"", ""right"": ""COW-01-05.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-01-05,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-00-05.bottom"", ""bottom"": ""COW-02-05.top"", ""left"": ""COW-01-04.right"", ""right"": ""COW-01-06.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-01-06,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-00-06.bottom"", ""bottom"": ""COW-02-06.top"", ""left"": ""COW-01-05.right"", ""right"": ""COW-01-07.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-01-07,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-00-07.bottom"", ""bottom"": ""COW-02-07.top"", ""left"": ""COW-01-06.right"", ""right"": ""COW-01-00.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-02-00,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-01-00.bottom"", ""bottom"": ""COW-03-00.top"", ""left"": ""COW-02-07.right"", ""right"": ""COW-02-01.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-02-01,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-01-01.bottom"", ""bottom"": ""COW-03-01.top"", ""left"": ""COW-02-00.right"", ""right"": ""COW-02-02.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-02-02,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-01-02.bottom"", ""bottom"": ""COW-03-02.top"", ""left"": ""COW-02-01.right"", ""right"": ""COW-02-03.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-02-03,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-01-03.bottom"", ""bottom"": ""COW-03-03.top"", ""left"": ""COW-02-02.right"", ""right"": ""COW-02-04.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-02-04,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-01-04.bottom"", ""bottom"": ""COW-03-04.top"", ""left"": ""COW-02-03.right"", ""right"": ""COW-02-05.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-02-05,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-01-05.bottom"", ""bottom"": ""COW-03-05.top"", ""left"": ""COW-02-04.right"", ""right"": ""COW-02-06.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-02-06,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-01-06.bottom"", ""bottom"": ""COW-03-06.top"", ""left"": ""COW-02-05.right"", ""right"": ""COW-02-07.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-02-07,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-01-07.bottom"", ""bottom"": ""COW-03-07.top"", ""left"": ""COW-02-06.right"", ""right"": ""COW-02-00.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-03-00,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-02-00.bottom"", ""bottom"": ""COW-04-00.top"", ""left"": ""COW-03-07.right"", ""right"": ""COW-03-01.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-03-01,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-02-01.bottom"", ""bottom"": ""COW-04-01.top"", ""left"": ""COW-03-00.right"", ""right"": ""COW-03-02.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-03-02,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-02-02.bottom"", ""bottom"": ""COW-04-02.top"", ""left"": ""COW-03-01.right"", ""right"": ""COW-03-03.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-03-03,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-02-03.bottom"", ""bottom"": ""COW-04-03.top"", ""left"": ""COW-03-02.right"", ""right"": ""COW-03-04.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-03-04,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-02-04.bottom"", ""bottom"": ""COW-04-04.top"", ""left"": ""COW-03-03.right"", ""right"": ""COW-03-05.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-03-05,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-02-05.bottom"", ""bottom"": ""COW-04-05.top"", ""left"": ""COW-03-04.right"", ""right"": ""COW-03-06.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-03-06,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-02-06.bottom"", ""bottom"": ""COW-04-06.top"", ""left"": ""COW-03-05.right"", ""right"": ""COW-03-07.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-03-07,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-02-07.bottom"", ""bottom"": ""COW-04-07.top"", ""left"": ""COW-03-06.right"", ""right"": ""COW-03-00.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-04-00,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-03-00.bottom"", ""left"": ""COW-04-07.right"", ""right"": ""COW-04-01.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-04-01,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-03-01.bottom"", ""left"": ""COW-04-00.right"", ""right"": ""COW-04-02.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-04-02,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-03-02.bottom"", ""left"": ""COW-04-01.right"", ""right"": ""COW-04-03.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-04-03,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-03-03.bottom"", ""left"": ""COW-04-02.right"", ""right"": ""COW-04-04.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-04-04,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-03-04.bottom"", ""left"": ""COW-04-03.right"", ""right"": ""COW-04-05.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-04-05,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-03-05.bottom"", ""left"": ""COW-04-04.right"", ""right"": ""COW-04-06.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-04-06,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-03-06.bottom"", ""left"": ""COW-04-05.right"", ""right"": ""COW-04-07.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-04-07,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-03-07.bottom"", ""left"": ""COW-04-06.right"", ""right"": ""COW-04-00.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
LOW-00-00,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""bottom"": ""LOW-01-00.top"", ""right"": ""LOW-00-01.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-00-01,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""bottom"": ""LOW-01-01.top"", ""left"": ""LOW-00-00.right"", ""right"": ""LOW-00-02.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-00-02,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""bottom"": ""LOW-01-02.top"", ""left"": ""LOW-00-01.right"", ""right"": ""LOW-00-03.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-00-03,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""bottom"": ""LOW-01-03.top"", ""left"": ""LOW-00-02.right"", ""right"": ""LOW-00-04.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-00-04,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""bottom"": ""LOW-01-04.top"", ""left"": ""LOW-00-03.right"", ""right"": ""LOW-00-05.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-00-05,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""bottom"": ""LOW-01-05.top"", ""left"": ""LOW-00-04.right"", ""right"": ""LOW-00-06.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-00-06,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""bottom"": ""LOW-01-06.top"", ""left"": ""LOW-00-05.right"", ""right"": ""LOW-00-07.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-00-07,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""bottom"": ""LOW-01-07.top"", ""left"": ""LOW-00-06.right""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-01-00,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""top"": ""LOW-00-00.bottom"", ""bottom"": ""LOW-02-00.top"", ""right"": ""LOW-01-01.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-01-01,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""top"": ""LOW-00-01.bottom"", ""bottom"": ""LOW-02-01.top"", ""left"": ""LOW-01-00.right"", ""right"": ""LOW-01-02.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-01-02,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""top"": ""LOW-00-02.bottom"", ""bottom"": ""LOW-02-02.top"", ""left"": ""LOW-01-01.right"", ""right"": ""LOW-01-03.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-01-03,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""top"": ""LOW-00-03.bottom"", ""bottom"": ""LOW-02-03.top"", ""left"": ""LOW-01-02.right"", ""right"": ""LOW-01-04.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-01-04,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""top"": ""LOW-00-04.bottom"", ""bottom"": ""LOW-02-04.top"", ""left"": ""LOW-01-03.right"", ""right"": ""LOW-01-05.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-01-05,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""top"": ""LOW-00-05.bottom"", ""bottom"": ""LOW-02-05.top"", ""left"": ""LOW-01-04.right"", ""right"": ""LOW-01-06.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-01-06,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""top"": ""LOW-00-06.bottom"", ""bottom"": ""LOW-02-06.top"", ""left"": ""LOW-01-05.right"", ""right"": ""LOW-01-07.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-01-07,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""top"": ""LOW-00-07.bottom"", ""bottom"": ""LOW-02-07.top"", ""left"": ""LOW-01-06.right""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-02-00,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""top"": ""LOW-01-00.bottom"", ""right"": ""LOW-02-01.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-02-01,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""top"": ""LOW-01-01.bottom"", ""left"": ""LOW-02-00.right"", ""right"": ""LOW-02-02.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-02-02,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""top"": ""LOW-01-02.bottom"", ""left"": ""LOW-02-01.right"", ""right"": ""LOW-02-03.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-02-03,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""top"": ""LOW-01-03.bottom"", ""left"": ""LOW-02-02.right"", ""right"": ""LOW-02-04.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-02-04,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""top"": ""LOW-01-04.bottom"", ""left"": ""LOW-02-03.right"", ""right"": ""LOW-02-05.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-02-05,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""top"": ""LOW-01-05.bottom"", ""left"": ""LOW-02-04.right"", ""right"": ""LOW-02-06.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-02-06,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""top"": ""LOW-01-06.bottom"", ""left"": ""LOW-02-05.right"", ""right"": ""LOW-02-07.left""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
LOW-02-07,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.219, ""height"": 0.168}","{""top"": ""LOW-01-07.bottom"", ""left"": ""LOW-02-06.right""}",lower FRONT/BACK + assembly waist,Candidate split and waist dimensions only; cloth/trouser clearance not accepted.,3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
CAP-00-00,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.231, ""height"": 0.301}","{""bottom"": ""CAP-01-00.top"", ""right"": ""CAP-00-01.left""}",cape-v2 + complete,"Candidate wrap layout as scaffold only; old back-cape deformation fails, so no accepted deformation reuse.",3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
CAP-00-01,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.231, ""height"": 0.301}","{""bottom"": ""CAP-01-01.top"", ""left"": ""CAP-00-00.right"", ""right"": ""CAP-00-02.left""}",cape-v2 + complete,"Candidate wrap layout as scaffold only; old back-cape deformation fails, so no accepted deformation reuse.",3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
CAP-00-02,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.231, ""height"": 0.301}","{""bottom"": ""CAP-01-02.top"", ""left"": ""CAP-00-01.right"", ""right"": ""CAP-00-03.left""}",cape-v2 + complete,"Candidate wrap layout as scaffold only; old back-cape deformation fails, so no accepted deformation reuse.",3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
CAP-00-03,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.231, ""height"": 0.301}","{""bottom"": ""CAP-01-03.top"", ""left"": ""CAP-00-02.right"", ""right"": ""CAP-00-04.left""}",cape-v2 + complete,"Candidate wrap layout as scaffold only; old back-cape deformation fails, so no accepted deformation reuse.",3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
CAP-00-04,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.231, ""height"": 0.301}","{""bottom"": ""CAP-01-04.top"", ""left"": ""CAP-00-03.right"", ""right"": ""CAP-00-05.left""}",cape-v2 + complete,"Candidate wrap layout as scaffold only; old back-cape deformation fails, so no accepted deformation reuse.",3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
CAP-00-05,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.231, ""height"": 0.301}","{""bottom"": ""CAP-01-05.top"", ""left"": ""CAP-00-04.right"", ""right"": ""CAP-00-06.left""}",cape-v2 + complete,"Candidate wrap layout as scaffold only; old back-cape deformation fails, so no accepted deformation reuse.",3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
CAP-00-06,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.231, ""height"": 0.301}","{""bottom"": ""CAP-01-06.top"", ""left"": ""CAP-00-05.right"", ""right"": ""CAP-00-07.left""}",cape-v2 + complete,"Candidate wrap layout as scaffold only; old back-cape deformation fails, so no accepted deformation reuse.",3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
CAP-00-07,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.231, ""height"": 0.301}","{""bottom"": ""CAP-01-07.top"", ""left"": ""CAP-00-06.right""}",cape-v2 + complete,"Candidate wrap layout as scaffold only; old back-cape deformation fails, so no accepted deformation reuse.",3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
CAP-01-00,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.231, ""height"": 0.301}","{""top"": ""CAP-00-00.bottom"", ""bottom"": ""CAP-02-00.top"", ""right"": ""CAP-01-01.left""}",cape-v2 + complete,"Candidate wrap layout as scaffold only; old back-cape deformation fails, so no accepted deformation reuse.",3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
CAP-01-01,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.231, ""height"": 0.301}","{""top"": ""CAP-00-01.bottom"", ""bottom"": ""CAP-02-01.top"", ""left"": ""CAP-01-00.right"", ""right"": ""CAP-01-02.left""}",cape-v2 + complete,"Candidate wrap layout as scaffold only; old back-cape deformation fails, so no accepted deformation reuse.",3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
CAP-01-02,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.231, ""height"": 0.301}","{""top"": ""CAP-00-02.bottom"", ""bottom"": ""CAP-02-02.top"", ""left"": ""CAP-01-01.right"", ""right"": ""CAP-01-03.left""}",cape-v2 + complete,"Candidate wrap layout as scaffold only; old back-cape deformation fails, so no accepted deformation reuse.",3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
CAP-01-03,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.231, ""height"": 0.301}","{""top"": ""CAP-00-03.bottom"", ""bottom"": ""CAP-02-03.top"", ""left"": ""CAP-01-02.right"", ""right"": ""CAP-01-04.left""}",cape-v2 + complete,"Candidate wrap layout as scaffold only; old back-cape deformation fails, so no accepted deformation reuse.",3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
CAP-01-04,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.231, ""height"": 0.301}","{""top"": ""CAP-00-04.bottom"", ""bottom"": ""CAP-02-04.top"", ""left"": ""CAP-01-03.right"", ""right"": ""CAP-01-05.left""}",cape-v2 + complete,"Candidate wrap layout as scaffold only; old back-cape deformation fails, so no accepted deformation reuse.",3×3 to 4×4 control grid; no whole sleeve/torso/cape in one part. Open edges stay unjoined.
